Date,Location,MinTemp,MaxTemp,Rainfall,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm
2008-12-01,AliceSprings,19.6,37.6,0.0,20.0,11.0,17.0,16.0
2008-12-02,AliceSprings,21.0,39.1,1.2,24.0,9.0,18.0,13.0
2008-12-03,AliceSprings,22.9,40.9,0.0,7.0,24.0,17.0,11.0
2008-12-04,AliceSprings,24.7,40.5,0.0,2.0,22.0,29.0,24.0
2008-12-05,AliceSprings,23.4,32.4,0.2,9.0,17.0,58.0,43.0
2008-12-06,AliceSprings,21.7,25.1,2.6,19.0,11.0,90.0,78.0
2008-12-07,AliceSprings,20.9,25.7,4.8,11.0,17.0,70.0,77.0
2008-12-08,AliceSprings,17.7,34.6,0.6,15.0,9.0,63.0,27.0
2008-12-09,AliceSprings,24.4,39.0,0.0,28.0,11.0,40.0,20.0
2008-12-10,AliceSprings,25.3,38.6,0.0,22.0,35.0,38.0,51.0
2008-12-11,AliceSprings,25.0,32.3,0.0,26.0,9.0,50.0,73.0
2008-12-12,AliceSprings,20.7,32.2,14.4,13.0,19.0,88.0,37.0
2008-12-13,AliceSprings,16.6,26.6,0.0,26.0,24.0,55.0,39.0
2008-12-14,AliceSprings,13.7,26.8,0.0,20.0,19.0,37.0,24.0
2008-12-15,AliceSprings,13.1,28.5,0.0,20.0,13.0,30.0,15.0
2008-12-16,AliceSprings,13.6,31.7,0.0,22.0,13.0,21.0,15.0
2008-12-17,AliceSprings,15.7,36.3,0.0,9.0,9.0,18.0,11.0
2008-12-18,AliceSprings,19.6,36.9,0.0,15.0,17.0,21.0,12.0
2008-12-19,AliceSprings,24.5,35.2,0.0,26.0,17.0,32.0,19.0
2008-12-20,AliceSprings,19.4,35.2,0.0,31.0,13.0,20.0,14.0
2008-12-21,AliceSprings,19.9,39.3,0.0,19.0,15.0,11.0,12.0
2008-12-22,AliceSprings,21.5,39.9,0.0,13.0,19.0,16.0,13.0
2008-12-23,AliceSprings,21.6,39.4,0.0,28.0,20.0,12.0,13.0
2008-12-24,AliceSprings,22.5,38.5,0.0,20.0,17.0,17.0,19.0
2008-12-25,AliceSprings,27.2,37.6,0.0,13.0,13.0,30.0,22.0
2008-12-26,AliceSprings,26.8,38.9,0.0,20.0,35.0,21.0,58.0
2008-12-27,AliceSprings,23.1,31.5,21.4,11.0,7.0,77.0,51.0
2008-12-28,AliceSprings,23.3,34.0,0.2,0.0,19.0,71.0,37.0
2008-12-29,AliceSprings,21.9,32.4,9.4,19.0,17.0,65.0,28.0
2008-12-30,AliceSprings,18.7,32.7,0.0,28.0,17.0,21.0,14.0
2008-12-31,AliceSprings,18.0,34.5,0.0,19.0,13.0,18.0,14.0
2009-01-01,AliceSprings,22.2,36.0,0.0,22.0,28.0,18.0,12.0
2009-01-02,AliceSprings,22.1,34.3,0.0,30.0,30.0,20.0,12.0
2009-01-03,AliceSprings,18.6,34.7,0.0,19.0,24.0,17.0,20.0
2009-01-04,AliceSprings,21.5,36.1,0.0,17.0,26.0,38.0,20.0
2009-01-05,AliceSprings,20.6,36.5,0.0,20.0,30.0,38.0,20.0
2009-01-06,AliceSprings,22.4,36.3,0.0,19.0,24.0,44.0,19.0
2009-01-07,AliceSprings,21.1,35.7,0.0,22.0,37.0,65.0,32.0
2009-01-08,AliceSprings,22.4,34.6,0.0,24.0,31.0,63.0,30.0
2009-01-09,AliceSprings,21.2,36.2,0.0,24.0,24.0,25.0,17.0
2009-01-10,AliceSprings,21.0,37.5,0.0,20.0,15.0,13.0,9.0
2009-01-11,AliceSprings,17.7,37.3,0.0,17.0,17.0,11.0,6.0
2009-01-12,AliceSprings,17.4,38.1,0.0,24.0,17.0,9.0,8.0
2009-01-13,AliceSprings,23.2,38.2,0.0,24.0,11.0,35.0,8.0
2009-01-14,AliceSprings,23.1,37.8,0.0,13.0,37.0,27.0,14.0
2009-01-15,AliceSprings,20.4,38.4,0.0,22.0,35.0,25.0,12.0
