Date,Location,MinTemp,MaxTemp,Rainfall,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm
2008-12-01,Canberra,13.6,25.2,0.0,26.0,43.0,31.0,28.0
2008-12-02,Canberra,5.6,24.5,0.0,7.0,26.0,41.0,19.0
2008-12-03,Canberra,9.1,25.6,0.0,13.0,24.0,29.0,22.0
2008-12-04,Canberra,11.2,24.4,0.0,17.0,9.0,62.0,32.0
2008-12-05,Canberra,14.6,29.5,0.4,2.0,22.0,82.0,35.0
2008-12-06,Canberra,13.2,29.1,0.0,0.0,28.0,50.0,19.0
2008-12-07,Canberra,16.5,26.6,0.0,24.0,28.0,33.0,10.0
2008-12-08,Canberra,12.0,26.5,0.0,6.0,22.0,62.0,19.0
2008-12-09,Canberra,9.3,28.9,0.0,11.0,28.0,61.0,9.0
2008-12-10,Canberra,15.0,23.4,0.0,15.0,20.0,59.0,46.0
2008-12-11,Canberra,13.3,22.7,0.0,15.0,24.0,69.0,44.0
2008-12-12,Canberra,12.6,21.8,4.6,2.0,11.0,91.0,90.0
2008-12-13,Canberra,13.2,23.0,55.4,35.0,48.0,58.0,53.0
2008-12-14,Canberra,12.1,19.5,0.0,26.0,30.0,56.0,47.0
2008-12-15,Canberra,10.8,23.4,0.0,17.0,28.0,47.0,34.0
2008-12-16,Canberra,7.8,25.2,0.0,2.0,31.0,64.0,29.0
2008-12-17,Canberra,10.3,24.7,0.0,4.0,30.0,55.0,87.0
2008-12-18,Canberra,13.1,25.3,7.8,9.0,33.0,73.0,33.0
2008-12-19,Canberra,8.5,21.2,0.6,20.0,15.0,44.0,35.0
2008-12-20,Canberra,7.2,21.2,0.0,11.0,9.0,53.0,34.0
2008-12-21,Canberra,9.3,24.6,0.0,9.0,11.0,59.0,25.0
2008-12-22,Canberra,10.9,29.0,0.0,2.0,26.0,62.0,30.0
2008-12-23,Canberra,16.1,26.0,4.2,6.0,15.0,84.0,56.0
2008-12-24,Canberra,13.7,20.4,15.0,9.0,17.0,81.0,70.0
2008-12-25,Canberra,10.8,29.0,0.0,6.0,13.0,73.0,30.0
